City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Takoradi,GH,79.21,broken clouds,4.8845,-1.7554,Raybow International Hotel
531,Mattru,SL,77.88,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
533,Boyolangu,ID,80.85,scattered clouds,-8.1181,111.8935,Yos ega cv
535,Piacabucu,BR,77.97,broken clouds,-10.4056,-36.4344,Piaçabuçu News
536,Noumea,NC,86.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
539,Guerrero Negro,MX,76.21,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
541,Uribia,CO,79.39,overcast clouds,11.7139,-72.266,Hotel Uribia
545,Delhi,IN,75.2,haze,28.6667,77.2167,Maidens Hotel
548,Kulhudhuffushi,MV,83.44,overcast clouds,6.6221,73.07,Haajy Guest House 1
550,Auki,SB,87.01,scattered clouds,-8.7676,160.7034,Auki Motel
553,Vanimo,PG,86.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
561,Nanakuli,US,78.8,broken clouds,21.3906,-158.1547,Camp Pālehua
564,Malakal,SS,80.83,clear sky,9.5334,31.6605,Nile Palace Hotel
567,Takaungu,KE,78.37,few clouds,-3.6837,39.8566,Takaungu House
569,Pointe-Noire,CG,75.2,light rain,-4.7761,11.8635,Kactus Lodge
573,Diglur,IN,78.15,clear sky,18.55,77.6,Mirza Asad Baig (Residence)
579,Maragogi,BR,78.24,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
581,Sibolga,ID,78.94,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
582,Madimba,TZ,75.78,light rain,-10.4,40.3333,
583,Waingapu,ID,83.73,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
585,Vaitape,PF,82.81,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
587,Ishigaki,JP,75.2,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
595,Sao Jose Da Coroa Grande,BR,78.51,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
596,Akyab,MM,78.76,overcast clouds,20.15,92.9,Hotel Memory
599,Katherine,AU,84.2,clear sky,-14.4667,132.2667,Pine Tree Motel
602,San Ramon,US,78.8,clear sky,37.7799,-121.978,San Ramon Marriott
604,Nabire,ID,78.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
605,Harper,LR,78.12,overcast clouds,4.375,-7.7169,Screensaver
609,Quelimane,MZ,77.0,light rain,-17.8786,36.8883,Hotel Flamingo
612,Payo,ID,75.25,broken clouds,-3.7508,103.6372,Mess keban agung
619,Sorong,ID,77.77,overcast clouds,-0.8833,131.25,The Waigo Hotel
620,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
623,Labuhan,ID,80.78,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
625,Karawang,ID,84.0,overcast clouds,-6.3042,107.3079,SPOT ON 2412 Mandala Residence
627,Calamar,CO,80.6,few clouds,10.2511,-74.9146,Hostal Katyalex
628,Ormara,PK,77.2,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
630,Niquero,CU,77.81,scattered clouds,20.0431,-77.5828,Islazul Niquero
631,Lazaro Cardenas,MX,75.33,clear sky,17.9583,-102.2,Hotel Quinta Antigua
632,Pedernales,DO,79.43,clear sky,18.0384,-71.744,Hotel Costa Marina
634,Laguna,US,80.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
636,Itacoatiara,BR,75.2,few clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
637,Felipe Carrillo Puerto,MX,76.44,clear sky,19.5833,-88.05,Hotel La Ceiba
645,Sokoni,TZ,82.74,clear sky,-6.4333,39.55,Ujamaa Beach Resort
646,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
648,Loiza,PR,78.8,scattered clouds,18.4313,-65.8802,Malibu Beachfront
652,Waw,SS,80.04,clear sky,7.7029,27.9953,Universal Gab Hotel
667,Pathein,MM,81.66,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
673,Lamu,KE,78.21,overcast clouds,-2.2717,40.902,Lamu House
676,Clovis,US,82.4,clear sky,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
679,Tubuala,PA,84.2,few clouds,9.5167,-79.0333,Río Nabagana
680,Mawlaik,MM,77.29,overcast clouds,23.6333,94.4167,AKZ Guest House
683,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
688,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
697,Sao Joao Da Barra,BR,77.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
700,Alofi,NU,86.0,few clouds,-19.0595,-169.9187,Taloa Heights
