City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Belmonte,BR,-15.8631,-38.8828,78.8,73,0,5.75,clear sky
155,Salalah,OM,17.0151,54.0924,75.2,50,0,4.61,clear sky
156,Vaini,TO,-21.2,-175.2,84.2,79,40,11.5,scattered clouds
157,Bengkulu,ID,-3.8004,102.2655,77.5,89,56,4.23,broken clouds
158,Lensk,RU,60.7253,114.9278,26.24,87,19,2.04,few clouds
159,Cabatuan,PH,10.8794,122.486,83.98,68,100,11.77,overcast clouds
160,Jodhpur,IN,26.2867,73.03,74.03,38,26,10.49,scattered clouds
161,Severo-Kurilsk,RU,50.6789,156.125,30.97,72,2,6.35,clear sky
162,Nouakchott,MR,18.0858,-15.9785,69.8,64,0,19.57,clear sky
163,Tagusao,PH,9.1924,117.8141,82.98,73,100,7.78,overcast clouds
164,Pasni,PK,25.2631,63.471,77.38,79,11,6.82,few clouds
165,Souillac,MU,-20.5167,57.5167,73.4,94,20,5.75,few clouds
166,Shingu,JP,33.7333,135.9833,62.6,72,40,10.36,scattered clouds
167,Cap-Aux-Meules,CA,47.3821,-61.8597,32.0,74,100,20.71,light snow
168,Moron,AR,-34.6534,-58.6198,70.0,56,3,5.82,clear sky
169,Dingle,PH,10.9995,122.6711,83.5,71,100,10.85,overcast clouds
170,Praya,CV,14.9215,-23.5087,68.0,73,20,23.02,few clouds
171,Oranjemund,NA,-28.55,16.4333,59.54,85,0,1.43,clear sky
172,Ostrovnoy,RU,68.0531,39.5131,35.71,98,94,12.26,overcast clouds
173,Grindavik,IS,63.8424,-22.4338,28.4,80,75,13.8,broken clouds
174,Hay River,CA,60.8156,-115.7999,21.2,73,100,9.22,light snow
175,Puerto Ayora,EC,-0.7393,-90.3518,78.01,92,28,5.01,scattered clouds
176,Karratha,AU,-20.7377,116.8463,93.02,38,21,10.31,few clouds
177,Korla,CN,41.7597,86.1469,55.92,41,100,10.71,overcast clouds
178,Sars,RU,56.5502,57.1366,18.77,98,100,3.4,overcast clouds
179,Traralgon,AU,-38.1833,146.5333,63.0,59,28,8.99,scattered clouds
180,Gat,IL,31.61,34.7642,53.01,82,1,1.99,clear sky
181,Miraflores,MX,19.2167,-98.8083,69.8,37,20,23.02,dust
182,Sambava,MG,-14.2667,50.1667,75.67,94,100,5.28,light rain
183,Adrar,MR,20.5022,-10.0711,77.99,8,78,10.42,broken clouds
184,Erenhot,CN,43.6475,111.9767,37.53,23,8,5.64,clear sky
185,Bay Roberts,CA,47.5999,-53.2648,26.01,86,75,4.61,broken clouds
186,Komatsu,JP,36.4026,136.4509,64.4,68,20,10.36,few clouds
187,Ukiah,US,39.1502,-123.2078,75.2,19,1,10.36,clear sky
188,Redmond,US,47.674,-122.1215,43.0,93,100,3.38,light rain
189,Kendari,ID,-3.945,122.4989,76.46,90,100,3.83,overcast clouds
