City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Cape Town,ZA,2021-03-28 15:11:21,-33.9258,18.4232,77.0,41,0,11.5
188,Grand-Santi,GF,2021-03-28 15:15:42,4.25,-54.3833,80.24,84,91,5.32
189,Aklavik,CA,2021-03-28 15:15:42,68.2191,-135.0107,-11.2,70,75,8.05
190,Avarua,CK,2021-03-28 15:15:42,-21.2078,-159.775,80.6,83,75,11.5
191,Genoa,IT,2021-03-28 15:15:43,44.4129,8.9573,62.01,82,20,4.61
192,Razdolinsk,RU,2021-03-28 15:15:43,58.4211,94.6658,27.54,98,100,2.13
193,Angoche,MZ,2021-03-28 15:15:43,-16.2325,39.9086,80.08,81,100,6.13
194,Torbay,CA,2021-03-28 15:15:43,47.6666,-52.7314,28.0,80,90,14.97
195,Muros,ES,2021-03-28 15:15:44,42.7762,-9.0603,75.99,47,0,5.99
196,Morsbach,DE,2021-03-28 15:15:44,50.8667,7.75,55.99,52,100,3.0
197,Pacific Grove,US,2021-03-28 15:14:03,36.6177,-121.9166,48.2,71,1,6.53
198,Palembang,ID,2021-03-28 15:15:44,-2.9167,104.7458,76.24,94,27,4.59
199,Yeppoon,AU,2021-03-28 15:15:44,-23.1333,150.7333,71.6,83,4,1.14
200,La Cruz,MX,2021-03-28 15:15:45,23.9167,-106.9,70.02,27,100,3.36
201,Kaitangata,NZ,2021-03-28 15:15:45,-46.2817,169.8464,53.76,96,100,1.59
202,Wakema,MM,2021-03-28 15:15:45,16.6,95.1833,80.08,61,17,10.6
203,Santa Cruz,BO,2021-03-28 15:12:06,-17.8,-63.1667,75.2,53,75,16.11
204,Indian Head,US,2021-03-28 15:15:45,38.6001,-77.1622,59.0,94,90,8.05
205,Teya,RU,2021-03-28 15:15:46,60.3778,92.6267,24.82,97,100,0.6
206,Rezekne,LV,2021-03-28 15:15:46,56.5,27.3167,45.41,61,100,5.48
207,Florence,IT,2021-03-28 15:12:15,43.7667,11.25,71.01,37,20,5.75
208,Clyde River,CA,2021-03-28 15:15:46,70.4692,-68.5914,-7.6,84,1,3.44
209,Richards Bay,ZA,2021-03-28 15:15:47,-28.783,32.0377,70.5,71,95,10.51
210,Maceio,BR,2021-03-28 15:15:47,-9.6658,-35.7353,75.2,100,75,9.22
211,Dalvik,IS,2021-03-28 15:15:47,65.9702,-18.5286,28.4,93,90,11.5
212,Victoria,HK,2021-03-28 15:15:47,22.2855,114.1577,77.0,86,4,7.74
213,Alice Springs,AU,2021-03-28 15:15:48,-23.7,133.8833,71.6,64,45,5.75
214,Te Anau,NZ,2021-03-28 15:15:48,-45.4167,167.7167,55.47,93,88,3.53
215,Semey,KZ,2021-03-28 15:15:48,50.4111,80.2275,35.6,93,75,6.71
216,Olinda,BR,2021-03-28 15:15:48,-8.0089,-34.8553,82.4,69,40,8.05
217,North Platte,US,2021-03-28 15:15:43,41.1239,-100.7654,43.0,65,1,6.91
218,Maumere,ID,2021-03-28 15:13:12,-8.6199,122.2111,79.77,82,98,2.77
219,Katobu,ID,2021-03-28 15:15:49,-4.9408,122.5276,74.62,95,90,1.14
220,Nenjiang,CN,2021-03-28 15:15:49,49.1833,125.2167,41.05,86,100,11.86
221,Rivadavia,AR,2021-03-28 15:15:49,-33.1905,-68.4608,68.0,30,0,9.22
222,Chokurdakh,RU,2021-03-28 15:15:49,70.6333,147.9167,-16.78,100,91,3.6
223,Oyama,JP,2021-03-28 15:15:50,36.3,139.8,64.99,94,75,11.5
224,Darhan,MN,2021-03-28 15:15:50,49.4867,105.9228,34.84,33,48,6.62
225,Ilulissat,GL,2021-03-28 15:15:50,69.2167,-51.1,-7.6,45,6,3.74
